SCITA02S - Juízo Substituto da 2ª VF de Itajaí;9;18;11;14;18;180
SCITA03F - Juízo Federal da 3ª VF de Itajaí;6;15;17;1;5;139
SCITA03S - Juízo Substituto da 3ª VF de Itajaí;8;11;4;2;29;133
SCITA04F - Juízo Federal da 4ª VF de Itajaí;212;325;186;10;146;2229
SCITA04S - Juízo Substituto da 4ª VF de Itajaí;204;284;232;12;152;2181
Total 08 - ITAJAÍ 12/2017 e-ProcV2;443;679;458;44;365;5027
09 - JARAGUÁ DO SUL
SCJAR01F - Juízo Federal da 1ª VF de Jaraguá do Sul;18;50;17;2;14;241
SCJAR01S - Juízo Substituto da 1ª VF de Jaraguá do Sul;13;60;19;0;11;240
SCJAR02F - Juízo Federal da 2ª VF de Jaraguá do Sul;133;126;73;0;56;1061
SCJAR02S - Juízo Substituto da 2ª VF de Jaraguá do Sul;147;122;117;0;104;1113
SCJARCEMA - CENTRAL DE MANDADOS - JARAGUÁ DO SUL;0;0;0;0;0;1
Total 09 - JARAGUÁ DO SUL 12/2017 e-ProcV2;311;358;226;2;185;2656
10 - SÃO MIGUEL DO OESTE
SCSMO01F - Juízo Federal da 1ª VF de São Miguel do Oeste;83;48;73;17;79;988
SCSMO01S - Juízo Substituto da 1ª VF de São Miguel do Oeste;87;46;55;10;129;1010
Total 10 - SÃO MIGUEL DO OESTE 12/2017 e-ProcV2;170;94;128;27;208;1998
11 - CAÇADOR
SCCAC01F - Juízo Federal da 1ª VF de Caçador;80;56;34;22;190;1105
SCCAC01S - Juízo Substituto da 1ª VF de Caçador;87;63;41;20;209;1089
Total 11 - CAÇADOR 12/2017 e-ProcV2;167;119;75;42;399;2194
12 - CONCÓRDIA
SCCON01F - Juízo Federal da 1ª VF de Concórdia;26;25;59;4;57;420
SCCON01S - Juízo Substituto da 1ª VF de Concórdia;27;36;61;2;64;415
Total 12 - CONCÓRDIA 12/2017 e-ProcV2;53;61;120;6;121;835
13 - RIO DO SUL
SCRSL01F - Juízo Federal da 1ª VF de Rio do Sul;49;90;56;22;168;661
SCRSL01S - Juízo Substituto da 1ª VF de Rio do Sul;61;85;46;32;195;711
SCRSLUI02F - Juízo Federal da 2ª Unidade de Apoio Itinerante em Rio do Sul;0;6;29;0;5;201
SCRSLUI02S - Juízo Substituto da 2ª Unidade de Apoio Itinerante em Rio do Sul;0;2;32;0;2;194
SCRSLUI01F - Juízo Federal da 1ª Unidade de Apoio Itinerante em Rio do Sul;0;7;14;0;3;193
SCRSLUI01S - Juízo Substituto da 1ª Unidade de Apoio Itinerante em Rio do Sul;0;2;15;1;3;188
Total 13 - RIO DO SUL 12/2017 e-ProcV2;110;192;192;55;376;2148
14 - MAFRA
